src,type,key,pop,tempC,maxTempC,minTempC,humidity,pressure
aeris,hourly,2016-03-06 12:00,12,10,10,10,56,1007
aeris,hourly,2016-03-06 22:00,8,7,7,7,93,1003
aeris,hourly,2016-03-05 21:00,0,-1,-1,-1,84,1022
aeris,hourly,2016-03-07 04:00,8,7,7,7,95,1003
aeris,hourly,2016-03-07 15:00,17,14,14,14,75,1001
aeris,hourly,2016-03-05 15:00,3,3,3,3,64,1023
aeris,hourly,2016-03-06 02:00,0,-2,-2,-2,89,1017
aeris,hourly,2016-03-07 07:00,17,8,8,8,92,1003
aeris,hourly,2016-03-07 14:00,17,14,14,14,75,1001
aeris,hourly,2016-03-07 01:00,8,8,8,8,89,1003
aeris,hourly,2016-03-06 05:00,0,-2,-2,-2,92,1014
aeris,hourly,2016-03-06 08:00,12,2,2,2,76,1011
aeris,hourly,2016-03-06 23:00,8,7,7,7,89,1003
aeris,hourly,2016-03-06 18:00,12,10,10,10,69,1004
aeris,hourly,2016-03-05 22:00,0,-2,-2,-2,88,1021
aeris,hourly,2016-03-06 04:00,0,-2,-2,-2,92,1015
aeris,hourly,2016-03-06 17:00,12,11,11,11,61,1004
aeris,hourly,2016-03-07 12:00,17,14,14,14,74,1002
aeris,hourly,2016-03-06 07:00,12,0,0,0,79,1012
aeris,hourly,2016-03-07 05:00,8,7,7,7,94,1003
aeris,hourly,2016-03-07 08:00,17,8,8,8,90,1003
aeris,hourly,2016-03-05 18:00,3,2,2,2,66,1023
aeris,hourly,2016-03-07 02:00,8,7,7,7,93,1003
aeris,hourly,2016-03-06 09:00,12,4,4,4,70,1011
aeris,hourly,2016-03-05 20:00,0,0,0,0,78,1022
aeris,hourly,2016-03-07 09:00,17,9,9,9,89,1003
aeris,hourly,2016-03-06 14:00,12,11,11,11,55,1005
aeris,hourly,2016-03-07 03:00,8,7,7,7,97,1003
aeris,hourly,2016-03-07 11:00,17,12,12,12,79,1003
aeris,hourly,2016-03-07 00:00,8,8,8,8,90,1003
aeris,hourly,2016-03-06 01:00,0,-2,-2,-2,89,1018
aeris,hourly,2016-03-06 10:00,12,6,6,6,65,1010
aeris,hourly,2016-03-06 19:00,8,9,9,9,73,1004
aeris,hourly,2016-03-06 15:00,12,12,12,12,55,1004
aeris,hourly,2016-03-05 16:00,3,3,3,3,66,1023
aeris,hourly,2016-03-06 11:00,12,8,8,8,58,1009
aeris,hourly,2016-03-06 21:00,8,7,7,7,89,1004
aeris,hourly,2016-03-07 13:00,17,14,14,14,74,1002
aeris,hourly,2016-03-06 20:00,8,8,8,8,82,1004
aeris,hourly,2016-03-06 03:00,0,-2,-2,-2,92,1016
aeris,hourly,2016-03-07 10:00,17,10,10,10,84,1003
aeris,hourly,2016-03-05 19:00,0,0,0,0,76,1022
aeris,hourly,2016-03-06 13:00,12,10,10,10,54,1006
aeris,hourly,2016-03-07 06:00,8,7,7,7,93,1002
aeris,hourly,2016-03-06 00:00,0,-2,-2,-2,88,1020
aeris,hourly,2016-03-06 06:00,0,0,0,0,85,1013
aeris,hourly,2016-03-06 16:00,12,12,12,12,56,1004
aeris,hourly,2016-03-05 23:00,0,-2,-2,-2,88,1020
aeris,hourly,2016-03-05 17:00,3,2,2,2,66,1023
aeris,daily,2016-03-09 07:00,9,None,8,0,63,1021
aeris,daily,2016-03-13 08:00,None,None,6,4,85,996
aeris,daily,2016-03-12 07:00,38,None,8,6,72,1005
aeris,daily,2016-03-08 07:00,34,None,13,1,72,1008
aeris,daily,2016-03-06 07:00,12,None,12,7,63,1007
aeris,daily,2016-03-10 07:00,11,None,9,1,65,1020
aeris,daily,2016-03-07 07:00,17,None,14,10,81,1002
aeris,daily,2016-03-14 08:00,None,None,9,1,73,1001
aeris,daily,2016-03-11 07:00,16,None,12,4,65,1013
aeris,daily,2016-03-05 07:00,3,None,4,-2,73,1023
