src,type,key,pop,pressure,tempC,humidity,minTempC,maxTempC
wunder,hourly,2016-03-07 21:00,37,1002,12,93,,
wunder,hourly,2016-03-07 18:00,7,1003,13,84,,
wunder,hourly,2016-03-07 04:00,4,1003,7,86,,
wunder,hourly,2016-03-07 15:00,15,1003,15,72,,
wunder,hourly,2016-03-06 14:00,0,1005,12,51,,
wunder,hourly,2016-03-07 07:00,15,1004,7,82,,
wunder,hourly,2016-03-07 01:00,3,1003,7,86,,
wunder,hourly,2016-03-06 23:00,3,1004,7,82,,
wunder,hourly,2016-03-07 17:00,6,1003,14,78,,
wunder,hourly,2016-03-06 22:00,3,1004,8,81,,
wunder,hourly,2016-03-07 12:00,15,1004,14,74,,
wunder,hourly,2016-03-06 21:00,3,1004,8,78,,
wunder,hourly,2016-03-07 23:00,56,1002,12,94,,
wunder,hourly,2016-03-07 05:00,4,1003,7,85,,
wunder,hourly,2016-03-07 08:00,15,1004,8,83,,
wunder,hourly,2016-03-06 19:00,2,1003,9,75,,
wunder,hourly,2016-03-07 02:00,3,1003,7,86,,
wunder,hourly,2016-03-07 09:00,15,1005,8,85,,
wunder,hourly,2016-03-07 14:00,15,1003,15,72,,
wunder,hourly,2016-03-08 00:00,56,1002,12,94,,
wunder,hourly,2016-03-07 03:00,3,1003,7,86,,
wunder,hourly,2016-03-07 11:00,15,1004,13,78,,
wunder,hourly,2016-03-07 00:00,3,1004,7,84,,
wunder,hourly,2016-03-07 20:00,36,1002,12,91,,
wunder,hourly,2016-03-06 15:00,0,1004,13,55,,
wunder,hourly,2016-03-06 17:00,1,1003,12,62,,
wunder,hourly,2016-03-07 13:00,15,1004,14,74,,
wunder,hourly,2016-03-07 19:00,36,1002,13,88,,
wunder,hourly,2016-03-07 22:00,50,1002,12,95,,
wunder,hourly,2016-03-07 10:00,15,1005,11,84,,
wunder,hourly,2016-03-06 18:00,1,1003,11,68,,
wunder,hourly,2016-03-07 16:00,15,1003,15,73,,
wunder,hourly,2016-03-06 13:00,0,1006,12,50,,
wunder,hourly,2016-03-07 06:00,8,1004,7,85,,
wunder,hourly,2016-03-06 20:00,2,1004,8,77,,
wunder,hourly,2016-03-06 16:00,0,1004,13,56,,
